"Committee on Procedure and Priviliges","An Coiste um Nós Imeachta agus Pribhléidí","This Committee is responsible for considering the rules and procedures according to which The Dáil operates. Its members discuss Dáil Standing Orders and recommends any changes to Dáil procedure. The Committee will also evaluate Members’ privileges, when requested to do so by The House.","Tá an Coiste seo freagrach as na rialacha agus na nósanna imeachta ar dá réir a n-oibríonn an Dil. Na comhaltaí a phlé Buan-Orduithe Dil agus molann sé aon athruithe ar nós imeachta a Dil. Déanfaidh an Coiste a mheas freisin Comhaltaí pribhléidí, nuair a "
"Committee on Compellability","Fochoiste ar Inordaitheacht","Responsible for the duties accorded to it by the Committees of the Houses of the Oireachtas Compellability, Privileges and Immunities of Witnesses Act 1997 ( http://www.irishstatutebook.ie/1997/en/act/pub/0017/index.html )","Freagrach as na dualgais a thugtar dó leis an"
"Committee on Dáil Reform","Fochoiste ar Dil Athchóirithe","Responsible for considering Dáil and Committee procedure and recommending alterations to Standing Orders (rules of The Dáil). Also evaluate the privileges of Committee members.","Atá freagrach as Dil agus An nós imeachta coiste agus athruithe a mholadh chun Buan-Orduithe (Rialacha An Dil). Chomh maith leis sin meastóireacht a dhéanamh ar phribhléidí de bhaill an Choiste."
"Committee on Privileges","Fochoiste ar phribhléidí","This Committee is not a Standing Committee - its members are responsible for examining privilege in relation to the private papers of Dáil members. Also responsible for carrying out the recommendations outlined in the report of the Morris Tribunal ( http://www.morristribunal.ie/ )","Ní hé seo an Coiste Buanchoiste - dá chomhaltaí atá freagrach as scrúdú a dhéanamh ar phribhléid i ndáil leis an páipéir phríobháideacha de bhaill Dil. Chomh maith leis sin atá freagrach as na moltaí atá leagtha amach i dtuarascáil an Morris Tribunal"
"Committee on Members’ Interests of Dáil Éireann","An Coiste um Leasanna Chomhaltaí Dháil Éireann de Dil","This Committee was set up under the Ethics in Public Office Acts 1995 and 2001 and is responsible for publishing guidelines for Dáil members to assist them in complying what was outlined in the Acts. The Committee has also published a Code of Conduct for non-office holders and is responsible for the investigation of alleged violations of its terms.","Bunaíodh an Coiste seo ar bun faoi na hAchtanna um Eitic in Oifigí Poiblí 1995 agus 2001 agus tá sé freagrach as a fhoilsiú treoirlínte do bhaill Dil chun cabhrú leo a chomhlíonadh a bhí leagtha amach cad sna hAchtanna. Tá an Coiste foilsithe freisin Cód "
"Committee of Public Accounts","An Coiste um Chuntais Phoiblí","Responsible for examining and reporting on the Auditor General and Comptroller’s reports on Departmental expenditure. The Committee also considers their examinations of Department procedures and practices to ensure that they are performing as efficiently as possible. The Committee essentially acts as the public spending watchdog, by evaluating the way Government agencies manage their finances.","Atá freagrach as scrúdú agus tuairisciú a dhéanamh ar an Ard-Reachtaire Cuntas agus tuarascálacha Ard-Reachtaire Cuntas ar chaiteachas na Roinne. Measann an Coiste freisin a gcuid scrúduithe na nósanna imeachta agus ar chleachtais na Roinne chun a chinnti"
"Administration Committee","Comhchoiste Riaracháin Coiste","Responsible for discussing and making recommendations in relation to the services The Houses provide its Members. The Committee represents the views of all Members to both the Houses of Oireachtas Commission and the Management Advisory Committee of the Houses of the Oireachtas, who are together responsible for the provision of all services. The Committee also evaluates the services provided to members of the public by the Houses, such as the availability of public information services and visitor facilities.","Freagrach as a phlé agus moltaí a dhéanamh i ndáil leis na seirbhísí na Tithe a chur ar fáil ag a comhaltaí. Is ionann an Coiste tuairimí na Baill an dá Thithe an Oireachtais Choimisiúin agus an Coiste Comhairleach Bainistíochta de Thithe an Oireachtais, "
"Investigations, Oversight and Petitions","An Comhchoiste um Maoirseacht Imscrúduithe, agus Achainíocha","A new Committee that will investigate matters of public concern and make recommendations to the Government. Members will also examine issues previously dealt with by tribunals. The Committee is also tasked with designing a petitions system in the Houses of Oireachtas which is intended to increase citizen participation in the democratic process. Such a process would allow citizens to directly influence the parliamentary agenda.","Bunaíodh Coiste nua a imscrúdú a dhéanamh ar ábhair imní an phobail agus moltaí a dhéanamh don Rialtas. Beidh baill scrúdú freisin ar shaincheisteanna roimhe seo déileáil le binsí. Tá an Coiste de dhualgas freisin le dearadh córas achainíocha i dTithe an "
"The Implementation of the Good Friday Agreement","An Comhchoiste um Fhorfheidhmiú Chomhaontú Aoine an Chéasta","Responsible for facilitating communication between parliamentarians from both sides of the border on areas of mutual interest between the North and South. Reconciliation, commemoration, North-South co-operation and funding programmes have been identified as having high priority for discussion during 2012. The Committee includes both MPs and Members from Leinster House. The Committee can invite presentations from representative groups and State organisations to hear their perspectives on the Good Friday Agreement and ways to improve cross-border co-operation.","Freagrach as cumarsáid a éascú idir lucht parlaiminte ón dá thaobh den teorainn ar réimsí comhleasa idir an Tuaisceart agus an Deisceart. Cláir Athmhuintearas, comóradh, Thuaidh-Theas agus maoiniú a aithníodh go bhfuil tosaíocht ard le plé le linn 2012. Á"
"Agriculture, Food and the Marine","An Comhchoiste um Talmhaíochta, Bia agus na Mara","Acts as an advocate for a strong agri-food sector within our political system. Scrutinizes policy in areas relating to animal welfare, food labelling and the impact of climate change on the agricultural industry. The Committee is currently preparing for Ireland’s turn of the EU Presidency in January 2013 by discussing the Common EU Agricultural Policy and Common Fisheries Policy.","HAchtanna mar thacadóir d´earnáil láidir agraibhia laistigh dár gcóras polaitiúil. Scrúdú ar pholasaí i réimsí a bhaineann le leas ainmhithe, maidir le lipéadú bia agus an tionchar an athraithe aeráide ar an tionscal talmhaíochta. Tá an Coiste ag ullmhú f"
